Year,Award,Winner,Name,Film,POC
1957,Actress,1,Joanne Woodward,The Three Faces of Eve,0
1957,Actress in a Supporting Role,,Carolyn Jones,The Bachelor Party,0
1957,Actress in a Supporting Role,,Elsa Lanchester,Witness for the Prosecution,0
1957,Actress in a Supporting Role,,Hope Lange,Peyton Place,0
1957,Actress in a Supporting Role,1,Miyoshi Umeki,Sayonara,1
1957,Actress in a Supporting Role,,Diane Varsi,Peyton Place,0
1958,Actor,,Tony Curtis,The Defiant Ones,0
1958,Actor,,Paul Newman,Cat on a Hot Tin Roof,0
1958,Actor,1,David Niven,Separate Tables,0
1958,Actor,,Sidney Poitier,The Defiant Ones,1
1958,Actor,,Spencer Tracy,The Old Man and the Sea,0
1958,Actor in a Supporting Role,,Theodore Bikel,The Defiant Ones,0
1958,Actor in a Supporting Role,,Lee J. Cobb,The Brothers Karamazov,0
1958,Actor in a Supporting Role,1,Burl Ives,The Big Country,0
1958,Actor in a Supporting Role,,Arthur Kennedy,Some Came Running,0
1958,Actor in a Supporting Role,,Gig Young,Teacher's Pet,0
1958,Actress,1,Susan Hayward,I Want to Live!,0
1958,Actress,,Deborah Kerr,Separate Tables,0
1958,Actress,,Shirley MacLaine,Some Came Running,0
1958,Actress,,Rosalind Russell,Auntie Mame,0
1958,Actress,,Elizabeth Taylor,Cat on a Hot Tin Roof,0
1958,Actress in a Supporting Role,,Peggy Cass,Auntie Mame,0
1958,Actress in a Supporting Role,1,Wendy Hiller,Separate Tables,0
1958,Actress in a Supporting Role,,Martha Hyer,Some Came Running,0
1958,Actress in a Supporting Role,,Maureen Stapleton,Lonelyhearts,0
1958,Actress in a Supporting Role,,Cara Williams,The Defiant Ones,0
1959,Actor,,Laurence Harvey,Room at the Top,0
1959,Actor,1,Charlton Heston,Ben-Hur,0
1959,Actor,,Jack Lemmon,Some Like It Hot,0
1959,Actor,,Paul Muni,The Last Angry Man,0
1959,Actor,,James Stewart,Anatomy of a Murder,0
1959,Actor in a Supporting Role,1,Hugh Griffith,Ben-Hur,0
1959,Actor in a Supporting Role,,Arthur O'Connell,Anatomy of a Murder,0
1959,Actor in a Supporting Role,,George C. Scott,Anatomy of a Murder,0
1959,Actor in a Supporting Role,,Robert Vaughn,The Young Philadelphians,0
1959,Actor in a Supporting Role,,Ed Wynn,The Diary of Anne Frank,0
1959,Actress,,Doris Day,Pillow Talk,0
1959,Actress,,Audrey Hepburn,The Nun's Story,0
1959,Actress,,Katharine Hepburn,"Suddenly, Last Summer",0
1959,Actress,1,Simone Signoret,Room at the Top,0
1959,Actress,,Elizabeth Taylor,"Suddenly, Last Summer",0
1959,Actress in a Supporting Role,,Hermione Baddeley,Room at the Top,0
1959,Actress in a Supporting Role,,Susan Kohner,Imitation of Life,0
1959,Actress in a Supporting Role,,Juanita Moore,Imitation of Life,1
1959,Actress in a Supporting Role,,Thelma Ritter,Pillow Talk,0
1959,Actress in a Supporting Role,1,Shelley Winters,The Diary of Anne Frank,0
1960,Actor,,Trevor Howard,Sons and Lovers,0
1960,Actor,1,Burt Lancaster,Elmer Gantry,0
1960,Actor,,Jack Lemmon,The Apartment,0
1960,Actor,,Laurence Olivier,The Entertainer,0
1960,Actor,,Spencer Tracy,Inherit the Wind,0
1960,Actor in a Supporting Role,,Peter Falk,"Murder, Inc.",0
1960,Actor in a Supporting Role,,Jack Kruschen,The Apartment,0
1960,Actor in a Supporting Role,,Sal Mineo,Exodus,0
1960,Actor in a Supporting Role,1,Peter Ustinov,Spartacus,0
1960,Actor in a Supporting Role,,Chill Wills,The Alamo,0
1960,Actress,,Greer Garson,Sunrise at Campobello,0
1960,Actress,,Deborah Kerr,The Sundowners,0
1960,Actress,,Shirley MacLaine,The Apartment,0
1960,Actress,,Melina Mercouri,Never on Sunday,0
1960,Actress,1,Elizabeth Taylor,Butterfield 8,0
1960,Actress in a Supporting Role,,Glynis Johns,The Sundowners,0
1960,Actress in a Supporting Role,1,Shirley Jones,Elmer Gantry,0
1960,Actress in a Supporting Role,,Shirley Knight,The Dark at the Top of the Stairs,0
1960,Actress in a Supporting Role,,Janet Leigh,Psycho,0
1960,Actress in a Supporting Role,,Mary Ure,Sons and Lovers,0
1961,Actor,,Charles Boyer,Fanny,0
1961,Actor,,Paul Newman,The Hustler,0
1961,Actor,1,Maximilian Schell,Judgment at Nuremberg,0
1961,Actor,,Spencer Tracy,Judgment at Nuremberg,0
1961,Actor,,Stuart Whitman,The Mark,0
1961,Actor in a Supporting Role,1,George Chakiris,West Side Story,0
1961,Actor in a Supporting Role,,Montgomery Clift,Judgment at Nuremberg,0
1961,Actor in a Supporting Role,,Peter Falk,Pocketful of Miracles,0
1961,Actor in a Supporting Role,,Jackie Gleason,The Hustler,0
1961,Actor in a Supporting Role,,George C. Scott,The Hustler,0
1961,Actress,,Audrey Hepburn,Breakfast at Tiffany's,0
1961,Actress,,Piper Laurie,The Hustler,0
1961,Actress,1,Sophia Loren,Two Women,0
1961,Actress,,Geraldine Page,Summer and Smoke,0
1961,Actress,,Natalie Wood,Splendor in the Grass,0
1961,Actress in a Supporting Role,,Fay Bainter,The Children's Hour,0
1961,Actress in a Supporting Role,,Judy Garland,Judgment at Nuremberg,0
1961,Actress in a Supporting Role,,Lotte Lenya,The Roman Spring of Mrs. Stone,0
1961,Actress in a Supporting Role,,Una Merkel,Summer and Smoke,0
1961,Actress in a Supporting Role,1,Rita Moreno,West Side Story,1
1962,Actor,,Burt Lancaster,Birdman of Alcatraz,0
1962,Actor,,Jack Lemmon,Days of Wine and Roses,0
1962,Actor,,Marcello Mastroianni,Divorce--Italian Style,0
1962,Actor,,Peter O'Toole,Lawrence of Arabia,0
1962,Actor,1,Gregory Peck,To Kill a Mockingbird,0
1962,Actor in a Supporting Role,1,Ed Begley,Sweet Bird of Youth,0
1962,Actor in a Supporting Role,,Victor Buono,What Ever Happened to Baby Jane?,0
1962,Actor in a Supporting Role,,Telly Savalas,Birdman of Alcatraz,0
1962,Actor in a Supporting Role,,Omar Sharif,Lawrence of Arabia,0
1962,Actor in a Supporting Role,,Terence Stamp,Billy Budd,0
1962,Actress,1,Anne Bancroft,The Miracle Worker,0
1962,Actress,,Bette Davis,What Ever Happened to Baby Jane?,0
1962,Actress,,Katharine Hepburn,Long Day's Journey into Night,0
1962,Actress,,Geraldine Page,Sweet Bird of Youth,0
1962,Actress,,Lee Remick,Days of Wine and Roses,0
1962,Actress in a Supporting Role,,Mary Badham,To Kill a Mockingbird,0
1962,Actress in a Supporting Role,1,Patty Duke,The Miracle Worker,0
1962,Actress in a Supporting Role,,Shirley Knight,Sweet Bird of Youth,0
1962,Actress in a Supporting Role,,Angela Lansbury,The Manchurian Candidate,0
1962,Actress in a Supporting Role,,Thelma Ritter,Birdman of Alcatraz,0
1963,Actor,,Albert Finney,Tom Jones,0
1963,Actor,,Richard Harris,This Sporting Life,0
1963,Actor,,Rex Harrison,Cleopatra,0
1963,Actor,,Paul Newman,Hud,0
1963,Actor,1,Sidney Poitier,Lilies of the Field,1
1963,Actor in a Supporting Role,,Nick Adams,Twilight of Honor,0
1963,Actor in a Supporting Role,,Bobby Darin,"Captain Newman, M.D.",0
1963,Actor in a Supporting Role,1,Melvyn Douglas,Hud,0
1963,Actor in a Supporting Role,,Hugh Griffith,Tom Jones,0
1963,Actor in a Supporting Role,,John Huston,The Cardinal,0
1963,Actress,,Leslie Caron,The L-Shaped Room,0
1963,Actress,,Shirley MacLaine,Irma La Douce,0
1963,Actress,1,Patricia Neal,Hud,0
1963,Actress,,Rachel Roberts,This Sporting Life,0
1963,Actress,,Natalie Wood,Love with the Proper Stranger,0
1963,Actress in a Supporting Role,,Diane Cilento,Tom Jones,0
1963,Actress in a Supporting Role,,Dame Edith Evans,Tom Jones,0
1963,Actress in a Supporting Role,,Joyce Redman,Tom Jones,0
1963,Actress in a Supporting Role,1,Margaret Rutherford,The V.I.P.s,0
1963,Actress in a Supporting Role,,Lilia Skala,Lilies of the Field,0
1964,Actor,,Richard Burton,Becket,0
1964,Actor,1,Rex Harrison,My Fair Lady,0
1964,Actor,,Peter O'Toole,Becket,0
1964,Actor,,Anthony Quinn,Zorba the Greek,1
1964,Actor,,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
1964,Actor in a Supporting Role,,John Gielgud,Becket,0
1964,Actor in a Supporting Role,,Stanley Holloway,My Fair Lady,0
1964,Actor in a Supporting Role,,Edmond O'Brien,Seven Days in May,0
1964,Actor in a Supporting Role,,Lee Tracy,The Best Man,0
1964,Actor in a Supporting Role,1,Peter Ustinov,Topkapi,0
1964,Actress,1,Julie Andrews,Mary Poppins,0
1964,Actress,,Anne Bancroft,The Pumpkin Eater,0
1964,Actress,,Sophia Loren,Marriage Italian Style,0
1964,Actress,,Debbie Reynolds,The Unsinkable Molly Brown,0
1964,Actress,,Kim Stanley,Seance on a Wet Afternoon,0
1964,Actress in a Supporting Role,,Gladys Cooper,My Fair Lady,0
1964,Actress in a Supporting Role,,Dame Edith Evans,The Chalk Garden,0
1964,Actress in a Supporting Role,,Grayson Hall,The Night of the Iguana,0
1964,Actress in a Supporting Role,1,Lila Kedrova,Zorba the Greek,0
1964,Actress in a Supporting Role,,Agnes Moorehead,"Hush...Hush, Sweet Charlotte",0
1965,Actor,,Richard Burton,The Spy Who Came In from the Cold,0
1965,Actor,1,Lee Marvin,Cat Ballou,0
1965,Actor,,Laurence Olivier,Othello,0
1965,Actor,,Rod Steiger,The Pawnbroker,0
1965,Actor,,Oskar Werner,Ship of Fools,0
1965,Actor in a Supporting Role,1,Martin Balsam,A Thousand Clowns,0
1965,Actor in a Supporting Role,,Ian Bannen,The Flight of the Phoenix,0
1965,Actor in a Supporting Role,,Tom Courtenay,Doctor Zhivago,0
1965,Actor in a Supporting Role,,Michael Dunn,Ship of Fools,0
1965,Actor in a Supporting Role,,Frank Finlay,Othello,0
1965,Actress,,Julie Andrews,The Sound of Music,0
1965,Actress,1,Julie Christie,Darling,0
1965,Actress,,Samantha Eggar,The Collector,0
1965,Actress,,Elizabeth Hartman,A Patch of Blue,0
1965,Actress,,Simone Signoret,Ship of Fools,0
1965,Actress in a Supporting Role,,Ruth Gordon,Inside Daisy Clover,0
1965,Actress in a Supporting Role,,Joyce Redman,Othello,0
1965,Actress in a Supporting Role,,Maggie Smith,Othello,0
1965,Actress in a Supporting Role,1,Shelley Winters,A Patch of Blue,0
1965,Actress in a Supporting Role,,Peggy Wood,The Sound of Music,0
1966,Actor,,Alan Arkin,The Russians Are Coming The Russians Are Coming,0
1966,Actor,,Richard Burton,Who's Afraid of Virginia Woolf?,0
1966,Actor,,Michael Caine,Alfie,0
1966,Actor,,Steve McQueen,The Sand Pebbles,0
1966,Actor,1,Paul Scofield,A Man for All Seasons,0
1966,Actor in a Supporting Role,,Mako,The Sand Pebbles,1
1966,Actor in a Supporting Role,,James Mason,Georgy Girl,0
1966,Actor in a Supporting Role,1,Walter Matthau,The Fortune Cookie,0
1966,Actor in a Supporting Role,,George Segal,Who's Afraid of Virginia Woolf?,0
1966,Actor in a Supporting Role,,Robert Shaw,A Man for All Seasons,0
1966,Actress,,Anouk Aimee,A Man and a Woman,0
1966,Actress,,Ida Kaminska,The Shop on Main Street,0
1966,Actress,,Lynn Redgrave,Georgy Girl,0
1966,Actress,,Vanessa Redgrave,Morgan!,0
1966,Actress,1,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,0
1966,Actress in a Supporting Role,1,Sandy Dennis,Who's Afraid of Virginia Woolf?,0
1966,Actress in a Supporting Role,,Wendy Hiller,A Man for All Seasons,0
1966,Actress in a Supporting Role,,Jocelyne Lagarde,Hawaii,1
1966,Actress in a Supporting Role,,Vivien Merchant,Alfie,0
1966,Actress in a Supporting Role,,Geraldine Page,You're a Big Boy Now,0
1967,Actor,,Warren Beatty,Bonnie and Clyde,0
1967,Actor,,Dustin Hoffman,The Graduate,0
1967,Actor,,Paul Newman,Cool Hand Luke,0
1967,Actor,1,Rod Steiger,In the Heat of the Night,0
1967,Actor,,Spencer Tracy,Guess Who's Coming to Dinner,0
1967,Actor in a Supporting Role,,John Cassavetes,The Dirty Dozen,0
1967,Actor in a Supporting Role,,Gene Hackman,Bonnie and Clyde,0
1967,Actor in a Supporting Role,,Cecil Kellaway,Guess Who's Coming to Dinner,0
1967,Actor in a Supporting Role,1,George Kennedy,Cool Hand Luke,0
1967,Actor in a Supporting Role,,Michael J. Pollard,Bonnie and Clyde,0
1967,Actress,,Anne Bancroft,The Graduate,0
1967,Actress,,Faye Dunaway,Bonnie and Clyde,0
1967,Actress,,Dame Edith Evans,The Whisperers,0
1967,Actress,,Audrey Hepburn,Wait until Dark,0
1967,Actress,1,Katharine Hepburn,Guess Who's Coming to Dinner,0
1967,Actress in a Supporting Role,,Carol Channing,Thoroughly Modern Millie,1
1967,Actress in a Supporting Role,,Mildred Natwick,Barefoot in the Park,0
1967,Actress in a Supporting Role,1,Estelle Parsons,Bonnie and Clyde,0
1967,Actress in a Supporting Role,,Beah Richards,Guess Who's Coming to Dinner,1
1967,Actress in a Supporting Role,,Katharine Ross,The Graduate,0
1968,Actor,,Alan Arkin,The Heart Is a Lonely Hunter,0
1968,Actor,,Alan Bates,The Fixer,0
1968,Actor,,Ron Moody,Oliver!,0
1968,Actor,,Peter O'Toole,The Lion in Winter,0
1968,Actor,1,Cliff Robertson,Charly,0
1968,Actor in a Supporting Role,1,Jack Albertson,The Subject Was Roses,0
1968,Actor in a Supporting Role,,Seymour Cassel,Faces,0
1968,Actor in a Supporting Role,,Daniel Massey,Star!,0
1968,Actor in a Supporting Role,,Jack Wild,Oliver!,0
1968,Actor in a Supporting Role,,Gene Wilder,The Producers,0
1968,Actress,1,Katharine Hepburn,The Lion in Winter,0
1968,Actress,,Patricia Neal,The Subject Was Roses,0
1968,Actress,,Vanessa Redgrave,Isadora,0
1968,Actress,1,Barbra Streisand,Funny Girl,0
1968,Actress,,Joanne Woodward,"Rachel, Rachel",0
1968,Actress in a Supporting Role,,Lynn Carlin,Faces,0
1968,Actress in a Supporting Role,1,Ruth Gordon,Rosemary's Baby,0
1968,Actress in a Supporting Role,,Sondra Locke,The Heart Is a Lonely Hunter,0
1968,Actress in a Supporting Role,,Kay Medford,Funny Girl,0
1968,Actress in a Supporting Role,,Estelle Parsons,"Rachel, Rachel",0
1969,Actor,,Richard Burton,Anne of the Thousand Days,0
1969,Actor,,Dustin Hoffman,Midnight Cowboy,0
1969,Actor,,Peter O'Toole,"Goodbye, Mr. Chips",0
1969,Actor,,Jon Voight,Midnight Cowboy,0
1969,Actor,1,John Wayne,True Grit,0
1969,Actor in a Supporting Role,,Rupert Crosse,The Reivers,1
1969,Actor in a Supporting Role,,Elliott Gould,Bob & Carol & Ted & Alice,0
1969,Actor in a Supporting Role,,Jack Nicholson,Easy Rider,0
1969,Actor in a Supporting Role,,Anthony Quayle,Anne of the Thousand Days,0
1969,Actor in a Supporting Role,1,Gig Young,"They Shoot Horses, Don't They?",0
1969,Actress,,Genevieve Bujold,Anne of the Thousand Days,0
1969,Actress,,Jane Fonda,"They Shoot Horses, Don't They?",0
1969,Actress,,Liza Minnelli,The Sterile Cuckoo,0
1969,Actress,,Jean Simmons,The Happy Ending,0
1969,Actress,1,Maggie Smith,The Prime of Miss Jean Brodie,0
1969,Actress in a Supporting Role,,Catherine Burns,Last Summer,0
1969,Actress in a Supporting Role,,Dyan Cannon,Bob & Carol & Ted & Alice,0
1969,Actress in a Supporting Role,1,Goldie Hawn,Cactus Flower,0
1969,Actress in a Supporting Role,,Sylvia Miles,Midnight Cowboy,0
1969,Actress in a Supporting Role,,Susannah York,"They Shoot Horses, Don't They?",0
1970,Actor,,Melvyn Douglas,I Never Sang for My Father,0
1970,Actor,,James Earl Jones,The Great White Hope,1
1970,Actor,,Jack Nicholson,Five Easy Pieces,0
1970,Actor,,Ryan O'Neal,Love Story,0
1970,Actor,1,George C. Scott,Patton,0
1970,Actor in a Supporting Role,,Richard Castellano,Lovers and Other Strangers,0
1970,Actor in a Supporting Role,,Chief Dan George,Little Big Man,1
1970,Actor in a Supporting Role,,Gene Hackman,I Never Sang for My Father,0
1970,Actor in a Supporting Role,,John Marley,Love Story,0
1970,Actor in a Supporting Role,1,John Mills,Ryan's Daughter,0
1970,Actress,,Jane Alexander,The Great White Hope,0
1970,Actress,1,Glenda Jackson,Women in Love,0
1970,Actress,,Ali MacGraw,Love Story,0
1970,Actress,,Sarah Miles,Ryan's Daughter,0
1970,Actress,,Carrie Snodgress,Diary of a Mad Housewife,0
1970,Actress in a Supporting Role,,Karen Black,Five Easy Pieces,0
1970,Actress in a Supporting Role,,Lee Grant,The Landlord,0
1970,Actress in a Supporting Role,1,Helen Hayes,Airport,0
1970,Actress in a Supporting Role,1,Sally Kellerman,MA*S*H,0
1970,Actress in a Supporting Role,,Maureen Stapleton,Airport,0
1971,Actor,,Peter Finch,Sunday Bloody Sunday,0
1971,Actor,1,Gene Hackman,The French Connection,0
1971,Actor,,Walter Matthau,Kotch,0
1971,Actor,,George C. Scott,The Hospital,0
1971,Actor,,Topol,Fiddler on the Roof,0
1971,Actor in a Supporting Role,,Jeff Bridges,The Last Picture Show,0
1971,Actor in a Supporting Role,,Leonard Frey,Fiddler on the Roof,0
1971,Actor in a Supporting Role,,Richard Jaeckel,Sometimes a Great Notion,0
1971,Actor in a Supporting Role,1,Ben Johnson,The Last Picture Show,0
1971,Actor in a Supporting Role,,Roy Scheider,The French Connection,0
1971,Actress,,Julie Christie,McCabe & Mrs. Miller,0
1971,Actress,1,Jane Fonda,Klute,0
1971,Actress,,Glenda Jackson,Sunday Bloody Sunday,0
1971,Actress,,Vanessa Redgrave,"Mary, Queen of Scots",0
1971,Actress,,Janet Suzman,Nicholas and Alexandra,0
1971,Actress in a Supporting Role,,Ann-Margret,Carnal Knowledge,0
1971,Actress in a Supporting Role,,Ellen Burstyn,The Last Picture Show,0
1971,Actress in a Supporting Role,,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,0
1971,Actress in a Supporting Role,1,Cloris Leachman,The Last Picture Show,0
1971,Actress in a Supporting Role,,Margaret Leighton,The Go-Between,0
1972,Actor,1,Marlon Brando,The Godfather,0
1972,Actor,,Michael Caine,Sleuth,0
1972,Actor,,Laurence Olivier,Sleuth,0
1972,Actor,,Peter O'Toole,The Ruling Class,0
1972,Actor,,Paul Winfield,Sounder,1
1972,Actor in a Supporting Role,,Eddie Albert,The Heartbreak Kid,0
1972,Actor in a Supporting Role,,James Caan,The Godfather,0
1972,Actor in a Supporting Role,,Robert Duvall,The Godfather,0
1972,Actor in a Supporting Role,1,Joel Grey,Cabaret,0
1972,Actor in a Supporting Role,,Al Pacino,The Godfather,0
1972,Actress,1,Liza Minnelli,Cabaret,0
1972,Actress,,Diana Ross,Lady Sings the Blues,1
1972,Actress,,Maggie Smith,Travels with My Aunt,0
1972,Actress,,Cicely Tyson,Sounder,1
1972,Actress,,Liv Ullmann,The Emigrants,0
1972,Actress in a Supporting Role,,Jeannie Berlin,The Heartbreak Kid,0
1972,Actress in a Supporting Role,1,Eileen Heckart,Butterflies Are Free,0
1972,Actress in a Supporting Role,,Geraldine Page,Pete 'n' Tillie,0
1972,Actress in a Supporting Role,,Susan Tyrrell,Fat City,0
1972,Actress in a Supporting Role,,Shelley Winters,The Poseidon Adventure,0
1973,Actor,,Marlon Brando,Last Tango in Paris,0
1973,Actor,1,Jack Lemmon,Save the Tiger,0
1973,Actor,,Jack Nicholson,The Last Detail,0
1973,Actor,,Al Pacino,Serpico,0
1973,Actor,,Robert Redford,The Sting,0
1973,Actor in a Supporting Role,,Vincent Gardenia,Bang the Drum Slowly,0
1973,Actor in a Supporting Role,,Jack Gilford,Save the Tiger,0
1973,Actor in a Supporting Role,1,John Houseman,The Paper Chase,0
1973,Actor in a Supporting Role,,Jason Miller,The Exorcist,0
1973,Actor in a Supporting Role,,Randy Quaid,The Last Detail,0
1973,Actress,,Ellen Burstyn,The Exorcist,0
1973,Actress,1,Glenda Jackson,A Touch of Class,0
1973,Actress,,Marsha Mason,Cinderella Liberty,0
1973,Actress,,Barbra Streisand,The Way We Were,0
1973,Actress,,Joanne Woodward,"Summer Wishes, Winter Dreams",0
1973,Actress in a Supporting Role,,Linda Blair,The Exorcist,0
1973,Actress in a Supporting Role,,Candy Clark,American Graffiti,0
1973,Actress in a Supporting Role,,Madeline Kahn,Paper Moon,0
1973,Actress in a Supporting Role,1,Tatum O'Neal,Paper Moon,0
1973,Actress in a Supporting Role,,Sylvia Sidney,"Summer Wishes, Winter Dreams",0
1974,Actor,1,Art Carney,Harry and Tonto,0
1974,Actor,,Albert Finney,Murder on the Orient Express,0
1974,Actor,,Dustin Hoffman,Lenny,0
1974,Actor,,Jack Nicholson,Chinatown,0
1974,Actor,,Al Pacino,The Godfather Part II,0
1974,Actor in a Supporting Role,,Fred Astaire,The Towering Inferno,0
1974,Actor in a Supporting Role,,Jeff Bridges,Thunderbolt and Lightfoot,0
1974,Actor in a Supporting Role,1,Robert De Niro,The Godfather Part II,0
1974,Actor in a Supporting Role,,Michael V. Gazzo,The Godfather Part II,0
1974,Actor in a Supporting Role,,Lee Strasberg,The Godfather Part II,0
1974,Actress,1,Ellen Burstyn,Alice Doesn't Live Here Anymore,0
1974,Actress,,Diahann Carroll,Claudine,1
1974,Actress,,Faye Dunaway,Chinatown,0
1974,Actress,,Valerie Perrine,Lenny,0
1974,Actress,,Gena Rowlands,A Woman under the Influence,0
1974,Actress in a Supporting Role,1,Ingrid Bergman,Murder on the Orient Express,0
1974,Actress in a Supporting Role,,Valentina Cortese,Day for Night,0
1974,Actress in a Supporting Role,,Madeline Kahn,Blazing Saddles,0
1974,Actress in a Supporting Role,,Diane Ladd,Alice Doesn't Live Here Anymore,0
1974,Actress in a Supporting Role,,Talia Shire,The Godfather Part II,0
1975,Actor,,Walter Matthau,The Sunshine Boys,0
1975,Actor,1,Jack Nicholson,One Flew over the Cuckoo's Nest,0
1975,Actor,,Al Pacino,Dog Day Afternoon,0
1975,Actor,,Maximilian Schell,The Man in the Glass Booth,0
1975,Actor,,James Whitmore,"Give 'em Hell, Harry!",0
1975,Actor in a Supporting Role,1,George Burns,The Sunshine Boys,0
1975,Actor in a Supporting Role,,Brad Dourif,One Flew over the Cuckoo's Nest,0
1975,Actor in a Supporting Role,,Burgess Meredith,The Day of the Locust,0
1975,Actor in a Supporting Role,,Chris Sarandon,Dog Day Afternoon,0
1975,Actor in a Supporting Role,,Jack Warden,Shampoo,0
1975,Actress,,Isabelle Adjani,The Story of Adele H.,1
1975,Actress,,Ann-Margret,Tommy,0
1975,Actress,1,Louise Fletcher,One Flew over the Cuckoo's Nest,0
1975,Actress,,Glenda Jackson,Hedda,0
1975,Actress,,Carol Kane,Hester Street,0
1975,Actress in a Supporting Role,,Ronee Blakley,Nashville,0
1975,Actress in a Supporting Role,1,Lee Grant,Shampoo,0
1975,Actress in a Supporting Role,,Sylvia Miles,"Farewell, My Lovely",0
1975,Actress in a Supporting Role,,Lily Tomlin,Nashville,0
1975,Actress in a Supporting Role,,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,0
1976,Actor in a Leading Role,,Robert De Niro,Taxi Driver,0
1976,Actor in a Leading Role,1,Peter Finch,Network,0
1976,Actor in a Leading Role,,Giancarlo Giannini,Seven Beauties,0
1976,Actor in a Leading Role,,William Holden,Network,0
1976,Actor in a Leading Role,,Sylvester Stallone,Rocky,0
1976,Actor in a Supporting Role,,Ned Beatty,Network,0
1976,Actor in a Supporting Role,,Burgess Meredith,Rocky,0
1976,Actor in a Supporting Role,,Laurence Olivier,Marathon Man,0
1976,Actor in a Supporting Role,1,Jason Robards,All the President's Men,0
1976,Actor in a Supporting Role,,Burt Young,Rocky,0
1976,Actress in a Leading Role,,Marie-Christine Barrault,"Cousin, Cousine",0
1976,Actress in a Leading Role,1,Faye Dunaway,Network,0
1976,Actress in a Leading Role,,Talia Shire,Rocky,0
1976,Actress in a Leading Role,,Sissy Spacek,Carrie,0
1976,Actress in a Leading Role,,Liv Ullmann,Face to Face,0
1976,Actress in a Supporting Role,,Jane Alexander,All the President's Men,0
1976,Actress in a Supporting Role,,Jodie Foster,Taxi Driver,0
1976,Actress in a Supporting Role,,Lee Grant,Voyage of the Damned,0
1976,Actress in a Supporting Role,,Piper Laurie,Carrie,0
1976,Actress in a Supporting Role,1,Beatrice Straight,Network,0
1977,Actor in a Leading Role,,Woody Allen,Annie Hall,0
1977,Actor in a Leading Role,,Richard Burton,Equus,0
1977,Actor in a Leading Role,1,Richard Dreyfuss,The Goodbye Girl,0
1977,Actor in a Leading Role,,Marcello Mastroianni,A Special Day,0
1977,Actor in a Leading Role,,John Travolta,Saturday Night Fever,0
1977,Actor in a Supporting Role,,Mikhail Baryshnikov,The Turning Point,0
1977,Actor in a Supporting Role,,Peter Firth,Equus,0
1977,Actor in a Supporting Role,,Alec Guinness,Star Wars,0
1977,Actor in a Supporting Role,1,Jason Robards,Julia,0
1977,Actor in a Supporting Role,,Maximilian Schell,Julia,0
1977,Actress in a Leading Role,,Anne Bancroft,The Turning Point,0
1977,Actress in a Leading Role,,Jane Fonda,Julia,0
1977,Actress in a Leading Role,1,Diane Keaton,Annie Hall,0
1977,Actress in a Leading Role,,Shirley MacLaine,The Turning Point,0
1977,Actress in a Leading Role,,Marsha Mason,The Goodbye Girl,0
1977,Actress in a Supporting Role,,Leslie Browne,The Turning Point,0
1977,Actress in a Supporting Role,,Quinn Cummings,The Goodbye Girl,0
1977,Actress in a Supporting Role,,Melinda Dillon,Close Encounters of the Third Kind,0
1977,Actress in a Supporting Role,1,Vanessa Redgrave,Julia,0
1977,Actress in a Supporting Role,,Tuesday Weld,Looking for Mr. Goodbar,0
1978,Actor in a Leading Role,,Warren Beatty,Heaven Can Wait,0
1978,Actor in a Leading Role,,Gary Busey,The Buddy Holly Story,0
1978,Actor in a Leading Role,,Robert De Niro,The Deer Hunter,0
1978,Actor in a Leading Role,,Laurence Olivier,The Boys from Brazil,0
1978,Actor in a Leading Role,1,Jon Voight,Coming Home,0
1978,Actor in a Supporting Role,,Bruce Dern,Coming Home,0
1978,Actor in a Supporting Role,,Richard Farnsworth,Comes a Horseman,0
1978,Actor in a Supporting Role,,John Hurt,Midnight Express,0
1978,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter,0
1978,Actor in a Supporting Role,,Jack Warden,Heaven Can Wait,0
1978,Actress in a Leading Role,,Ingrid Bergman,Autumn Sonata,0
1978,Actress in a Leading Role,,Ellen Burstyn,"Same Time, Next Year",0
1978,Actress in a Leading Role,,Jill Clayburgh,An Unmarried Woman,0
1978,Actress in a Leading Role,1,Jane Fonda,Coming Home,0
1978,Actress in a Leading Role,,Geraldine Page,Interiors,0
1978,Actress in a Supporting Role,,Dyan Cannon,Heaven Can Wait,0
1978,Actress in a Supporting Role,,Penelope Milford,Coming Home,0
1978,Actress in a Supporting Role,1,Maggie Smith,California Suite,0
1978,Actress in a Supporting Role,,Maureen Stapleton,Interiors,0
1978,Actress in a Supporting Role,,Meryl Streep,The Deer Hunter,0
1979,Actor in a Leading Role,1,Dustin Hoffman,Kramer vs. Kramer,0
1979,Actor in a Leading Role,,Jack Lemmon,The China Syndrome,0
1979,Actor in a Leading Role,,Al Pacino,...And Justice for All,0
1979,Actor in a Leading Role,,Roy Scheider,All That Jazz,0
1979,Actor in a Leading Role,,Peter Sellers,Being There,0
1979,Actor in a Supporting Role,1,Melvyn Douglas,Being There,0
1979,Actor in a Supporting Role,,Robert Duvall,Apocalypse Now,0
1979,Actor in a Supporting Role,,Frederic Forrest,The Rose,0
1979,Actor in a Supporting Role,,Justin Henry,Kramer vs. Kramer,0
